country,Machiavellianism,Narcissism,Psychopathy
US,3.5555555555555554,3.6666666666666665,1.8888888888888888
US,2.5555555555555554,2.7777777777777777,1.6666666666666667
US,4.666666666666667,3.888888888888889,3.7777777777777777
GB,3.888888888888889,3.5555555555555554,3.0
US,4.555555555555555,2.4444444444444446,2.6666666666666665
US,3.2222222222222223,3.4444444444444446,3.0
US,4.111111111111111,3.4444444444444446,2.7777777777777777
CA,2.0,1.1111111111111112,1.0
PH,3.0,3.3333333333333335,3.0
US,3.6666666666666665,3.5555555555555554,3.2222222222222223
US,3.111111111111111,2.0,1.5555555555555556
AU,2.0,1.3333333333333333,1.3333333333333333
US,3.3333333333333335,1.6666666666666667,3.111111111111111
US,4.555555555555555,3.0,2.888888888888889
US,4.555555555555555,3.2222222222222223,3.3333333333333335
AU,3.5555555555555554,3.5555555555555554,3.7777777777777777
US,3.4444444444444446,3.7777777777777777,3.5555555555555554
US,2.5555555555555554,3.111111111111111,1.8888888888888888
US,3.7777777777777777,2.888888888888889,3.2222222222222223
AT,2.6666666666666665,2.5555555555555554,2.7777777777777777
IN,2.7777777777777777,2.6666666666666665,2.6666666666666665
SG,4.222222222222222,3.5555555555555554,3.111111111111111
AU,4.333333333333333,2.3333333333333335,1.8888888888888888
ZA,1.8888888888888888,1.2222222222222223,1.1111111111111112
US,2.6666666666666665,3.7777777777777777,1.5555555555555556
US,4.0,1.5555555555555556,3.0
US,2.888888888888889,3.0,3.2222222222222223
US,3.888888888888889,2.111111111111111,1.8888888888888888
PH,3.888888888888889,1.8888888888888888,2.111111111111111
CA,4.333333333333333,3.7777777777777777,3.4444444444444446
US,3.111111111111111,3.4444444444444446,2.0
US,3.3333333333333335,2.4444444444444446,3.0
CA,3.5555555555555554,2.3333333333333335,1.6666666666666667
US,4.555555555555555,1.7777777777777777,2.4444444444444446
US,4.444444444444445,3.5555555555555554,3.6666666666666665
US,3.5555555555555554,3.0,2.2222222222222223
PH,2.6666666666666665,1.5555555555555556,2.2222222222222223
NO,2.888888888888889,2.6666666666666665,3.6666666666666665
NZ,4.555555555555555,4.222222222222222,2.6666666666666665
IN,3.75,3.111111111111111,2.7777777777777777
US,4.111111111111111,2.888888888888889,4.333333333333333
CA,3.0,2.3333333333333335,2.3333333333333335
GB,3.4444444444444446,1.7777777777777777,2.111111111111111
GB,4.666666666666667,3.888888888888889,4.666666666666667
CA,5.0,3.5555555555555554,4.888888888888889
GB,4.555555555555555,4.333333333333333,3.7777777777777777
MY,1.8888888888888888,1.5555555555555556,1.4444444444444444
NZ,3.0,3.0,3.5555555555555554
PE,4.888888888888889,4.222222222222222,4.333333333333333
US,3.4444444444444446,2.5555555555555554,2.2222222222222223
US,5.0,1.4444444444444444,4.444444444444445
GB,4.444444444444445,4.111111111111111,2.6666666666666665
GB,3.6666666666666665,3.888888888888889,2.888888888888889
AU,4.888888888888889,3.5555555555555554,2.7777777777777777
GB,3.6666666666666665,2.4444444444444446,3.3333333333333335
NL,4.222222222222222,3.4444444444444446,2.3333333333333335
NL,4.444444444444445,2.6666666666666665,3.0
AU,3.888888888888889,3.2222222222222223,3.7777777777777777
GB,4.111111111111111,2.6666666666666665,2.6666666666666665
US,1.5555555555555556,2.2222222222222223,1.5555555555555556
GB,3.111111111111111,2.2222222222222223,2.2222222222222223
AU,5.0,4.888888888888889,4.555555555555555
GB,3.5555555555555554,3.2222222222222223,2.4444444444444446
GB,3.6666666666666665,2.5555555555555554,2.6666666666666665
GB,2.6666666666666665,1.8888888888888888,2.4444444444444446
US,4.444444444444445,4.222222222222222,4.333333333333333
GB,3.7777777777777777,2.7777777777777777,2.4444444444444446
PH,3.111111111111111,3.3333333333333335,2.3333333333333335
GB,5.0,2.3333333333333335,3.888888888888889
FI,5.0,4.111111111111111,1.4444444444444444
GB,2.2222222222222223,1.7777777777777777,1.3333333333333333
FI,2.888888888888889,3.2222222222222223,3.0
US,3.888888888888889,4.555555555555555,2.0
US,4.888888888888889,3.111111111111111,3.111111111111111
RU,2.4444444444444446,2.3333333333333335,1.4444444444444444
ZA,4.555555555555555,1.4444444444444444,2.7777777777777777
NL,3.6666666666666665,3.6666666666666665,2.7777777777777777
SE,4.0,2.4444444444444446,2.4444444444444446
FI,3.3333333333333335,2.5555555555555554,2.4444444444444446
GB,3.7777777777777777,2.25,2.6666666666666665
US,4.111111111111111,2.7777777777777777,4.0
CN,3.4444444444444446,3.4444444444444446,2.3333333333333335
GB,3.7777777777777777,3.7777777777777777,3.6666666666666665
GB,2.3333333333333335,1.3333333333333333,1.7777777777777777
US,4.444444444444445,4.777777777777778,3.6666666666666665
US,4.111111111111111,3.888888888888889,4.0
US,3.888888888888889,3.5555555555555554,1.6666666666666667
GB,3.888888888888889,3.0,3.0
US,3.2222222222222223,3.111111111111111,3.3333333333333335
US,3.888888888888889,3.3333333333333335,2.7777777777777777
US,4.111111111111111,3.7777777777777777,2.111111111111111
TR,4.555555555555555,3.2222222222222223,3.0
US,4.0,2.6666666666666665,2.4444444444444446
AT,3.5555555555555554,2.5555555555555554,2.7777777777777777
DE,2.4444444444444446,1.7777777777777777,1.4444444444444444
GB,3.3333333333333335,1.8888888888888888,2.0
TR,4.777777777777778,3.888888888888889,3.4444444444444446
US,4.111111111111111,3.4444444444444446,3.3333333333333335
GB,3.6666666666666665,3.4444444444444446,3.2222222222222223
BR,4.111111111111111,3.0,3.0
PK,3.5555555555555554,3.3333333333333335,3.5555555555555554
US,3.3333333333333335,3.4444444444444446,3.4444444444444446
